id,probeKey,expectedErrors,actualOutputKeys
"additiveBuild","supportFactor:negativeOne","[""Declared support-material factor must not be negative.""]","partMass|supportMass|totalMaterialMass|effectiveBuildVolume|buildTime|materialCost|machineCost|directCost"
"additiveBuild","materialRate:negativeOne","[""Declared cost inputs must not be negative.""]","partMass|supportMass|totalMaterialMass|effectiveBuildVolume|buildTime|materialCost|machineCost|directCost"
"additiveBuild","machineRate:negativeOne","[""Declared cost inputs must not be negative.""]","partMass|supportMass|totalMaterialMass|effectiveBuildVolume|buildTime|materialCost|machineCost|directCost"
"additiveBuild","fixedOverhead:negativeOne","[""Declared cost inputs must not be negative.""]","partMass|supportMass|totalMaterialMass|effectiveBuildVolume|buildTime|materialCost|machineCost|directCost"
"bearingLoad","radialFactor:negativeOne","[""The user-entered factors and loads must produce a positive equivalent dynamic load.""]","equivalentLoad|requiredDynamicRating|staticRatio|dn|dnRatio|preloadRatio"
"beltAxis","friction:negativeOne","[""Declared guide friction coefficient must be from 0 through 1.""]","steadyForce|rpm|torque|power"
"beltTension","looseSideTension:negativeOne","[""Declared loose-side tension must not be negative in this scalar span model.""]","drivingTension|declaredLooseSide|tightSideTension"
"buoyancyForce","objectMass:negativeOne","[""Declared object mass must not be negative.""]","buoyancy|weight|netUpwardForce|displacedMass"
"compressibleMassFlow","specificHeatRatio:zero","[""Declared specific-heat ratio must be greater than one.""]","massFlow|machNumber|flowArea|totalPressure"
"deflectionCheck","declaredDeflection:negativeOne","[""Declared calculated deflection must not be negative in this magnitude comparison.""]","referenceDeflection|deflectionRatio|arithmeticDifference"
"eccentricBoltGroup","eccentricity:negativeOne","[""Load eccentricity must not be negative.""]","moment|directShear|torsionalShear|conservativeMaximum|nominalShearStress"
"fatigueConcentration","notchSensitivity:negativeOne","[""Declared notch sensitivity must be from 0 through 1.""]","kf|effectiveStress"
"flywheelEnergy","initialSpeed:negativeOne","[""Declared speeds must not be negative in this speed-magnitude model.""]","initialAngularSpeed|finalAngularSpeed|initialEnergy|finalEnergy|energyChange"
"flywheelEnergy","finalSpeed:negativeOne","[""Declared speeds must not be negative in this speed-magnitude model.""]","initialAngularSpeed|finalAngularSpeed|initialEnergy|finalEnergy|energyChange"
"gearMeshForce","pressureAngle:negativeOne","[""Declared transverse pressure angle must be from 0 through less than 90 degrees.""]","tangentialForce|radialForce|axialForce|resultantForce"
"gearMeshForce","helixAngle:negativeOne","[""Declared helix angle must be from 0 through less than 90 degrees.""]","tangentialForce|radialForce|axialForce|resultantForce"
"hertzContact","spherePoisson:negativeOne","[""Declared Poisson ratios must be at least 0 and less than 0.5 for this bounded model.""]","reducedModulus|contactRadius|contactDiameter|peakPressure|indentation"
"hertzContact","flatPoisson:negativeOne","[""Declared Poisson ratios must be at least 0 and less than 0.5 for this bounded model.""]","reducedModulus|contactRadius|contactDiameter|peakPressure|indentation"
"machiningTimeBudget","nonCutAllowance:negativeOne","[""Declared non-cut time allowance must be zero or greater.""]","cuttingTime|nonCutAllowance|totalTime|totalTimeSeconds"
"minorLosses","sumK:negativeOne","[""Declared total minor-loss coefficient must not be negative.""]","dynamicPressure|pressureLoss|headLoss"
"orificeFlow","dischargeCoefficient:zero","[""Discharge coefficient must be greater than 0 and no greater than 1.""]","volumetricFlow|massFlow|throatVelocity|pressureDrop|diameterRatio"
"orificeFlow","dischargeCoefficient:negativeOne","[""Discharge coefficient must be greater than 0 and no greater than 1.""]","volumetricFlow|massFlow|throatVelocity|pressureDrop|diameterRatio"
"payloadInertia","cgDistance:negativeOne","[""Flange-to-CG distance must not be negative.""]","payloadMass|cgMoment|pointMassInertia"
"pressFit","friction:zero","[""Declared friction coefficient must be greater than 0 and no greater than 1.""]","interference|geometryFactor|contactPressure|frictionForce|holdingTorque"
"pressFit","friction:negativeOne","[""Declared friction coefficient must be greater than 0 and no greater than 1.""]","interference|geometryFactor|contactPressure|frictionForce|holdingTorque"
"pumpSystemHeadPoint","quadraticLossCoefficient:negativeOne","[""Declared quadratic-loss coefficient must be zero or greater.""]","systemHead|staticHead|quadraticLossHead|flowPoint"
"pumpSystemHeadPoint","flowPoint:negativeOne","[""Declared flow point must be zero or greater.""]","systemHead|staticHead|quadraticLossHead|flowPoint"
"rackPinion","friction:negativeOne","[""Declared guide friction coefficient must be from 0 through 1.""]","feedForce|linearSpeed|torque|rpm|power"
"rackPinion","acceleration:negativeOne","[""Declared linear acceleration must not be negative.""]","feedForce|linearSpeed|torque|rpm|power"
"sheetBendAllowance","kFactor:negativeOne","[""Declared K factor must be between zero and one.""]","bendAllowance|bendDeduction|neutralAxisRadius|bendAngle"
"sheetMetalBend","kFactor:negativeOne","[""K-factor must be between 0 and 1.""]","bendAllowance|outsideSetback|bendDeduction|flatLength"
"thermalRadiation","emissivity:negativeOne","[""Surface emissivity must be from 0 through 1.""]","netRadiation|heatFlux|emittedPower"
"thermalRcStep","elapsedTime:negativeOne","[""Declared elapsed time must be zero or greater.""]","timeConstant|temperatureRise|nodeTemperature|steadyStateRise"
"thermalResistance","contactResistance:negativeOne","[""Declared contact resistance must not be negative.""]","hotConvectionResistance|wallResistance|coldConvectionResistance|totalResistance|totalTemperatureDifference"
"threePhasePower","powerFactor:negativeOne","[""Declared power factor must be between zero and one.""]","apparentPower|realPower|lineVoltage|lineCurrent"
"toleranceStack","t4:negativeOne","[""Tolerance contributor magnitudes must not be negative.""]","worstCase|rss|worstMin|worstMax"
"toleranceStack","t5:negativeOne","[""Tolerance contributor magnitudes must not be negative.""]","worstCase|rss|worstMin|worstMax"
"toleranceStack","t6:negativeOne","[""Tolerance contributor magnitudes must not be negative.""]","worstCase|rss|worstMin|worstMax"
"torqueSpeedDuty","loadTorque:negativeOne","[""Declared load torque must not be negative.""]","angularAcceleration|accelerationTorque|requiredTorque|shaftPower|torqueMargin"
"weldGroup","directForce:negativeOne","[""Declared in-plane direct force and torsional moment magnitudes must not be negative.""]","totalLineLength|unitPolarMoment|endpointRadius|directLineLoad|torsionalEndpointLineLoad|quadratureLineLoad"
"weldGroup","torsionalMoment:negativeOne","[""Declared in-plane direct force and torsional moment magnitudes must not be negative.""]","totalLineLength|unitPolarMoment|endpointRadius|directLineLoad|torsionalEndpointLineLoad|quadratureLineLoad"
